Timestamp (UTC),Locked,Sentry Mode
"2026-05-06 17:18:55","1","0"
"2026-05-06 17:20:47","1","0"
"2026-05-06 17:21:40","1","0"
"2026-05-06 17:21:47","1","0"
"2026-05-06 17:25:13","1","0"
"2026-05-06 20:54:26","0","0"
"2026-05-06 20:55:08","0","0"
"2026-05-06 20:55:14","0","0"
"2026-05-06 20:55:46","0","0"
"2026-05-06 20:56:47","0","0"
"2026-05-06 20:57:17","0","0"
"2026-05-06 20:57:31","0","0"
"2026-05-06 20:57:39","0","0"
"2026-05-06 20:58:09","1","0"
"2026-05-06 20:58:39","1","0"
"2026-05-06 20:59:09","1","0"
"2026-05-06 20:59:39","1","0"
"2026-05-06 21:00:09","1","0"
"2026-05-06 21:00:39","1","0"
"2026-05-06 21:01:08","1","0"
"2026-05-06 21:01:55","1","0"
"2026-05-06 21:02:14","1","0"
"2026-05-06 21:02:44","1","0"
"2026-05-06 21:03:14","1","0"
"2026-05-06 21:03:44","1","0"
"2026-05-06 21:04:24","1","0"
"2026-05-06 21:04:52","1","0"
"2026-05-06 21:05:22","1","0"
"2026-05-06 21:05:52","1","0"
"2026-05-06 21:06:22","1","0"
"2026-05-06 21:06:52","1","0"
"2026-05-06 21:07:22","1","0"
"2026-05-06 21:07:52","1","0"
"2026-05-06 21:08:22","1","0"
"2026-05-06 21:08:53","0","0"
"2026-05-06 21:09:01","0","1"
"2026-05-06 21:09:37","0","1"
"2026-05-06 21:10:37","0","1"
"2026-05-06 21:11:16","0","1"
"2026-05-06 21:12:10","0","1"
"2026-05-06 21:12:37","0","1"
"2026-05-06 21:13:37","0","1"
"2026-05-06 21:14:35","0","1"
"2026-05-06 21:15:37","1","1"
"2026-05-06 21:16:37","1","1"
"2026-05-06 21:17:37","1","1"
"2026-05-06 21:18:14","1","1"
"2026-05-06 21:18:37","1","1"
"2026-05-06 21:19:37","1","1"
"2026-05-06 21:20:37","1","1"
"2026-05-06 21:22:39","1","1"
"2026-05-06 21:24:53","1","1"
"2026-05-06 21:25:06","1","1"
"2026-05-06 21:27:50","1","1"
"2026-05-06 21:28:21","1","1"
"2026-05-06 21:30:45","1","1"
"2026-05-06 21:31:45","1","1"
"2026-05-06 21:32:45","1","1"
"2026-05-06 21:33:45","1","1"
"2026-05-06 21:34:45","1","1"
"2026-05-06 21:35:45","1","1"
"2026-05-06 21:36:30","1","1"
"2026-05-06 21:36:45","1","1"
"2026-05-06 21:37:45","1","1"
"2026-05-06 21:38:45","1","1"
"2026-05-06 21:39:45","1","1"
"2026-05-06 21:40:24","1","1"
"2026-05-06 21:40:45","1","1"
"2026-05-06 21:41:45","1","1"
"2026-05-06 21:42:46","1","1"
"2026-05-06 21:43:46","1","1"
"2026-05-06 21:44:46","1","1"
"2026-05-06 21:45:46","1","1"
"2026-05-06 21:46:46","1","1"
"2026-05-06 21:47:46","1","1"
"2026-05-06 21:48:46","1","1"
"2026-05-06 21:49:46","1","1"
"2026-05-06 21:50:46","1","1"
"2026-05-06 21:51:46","1","1"
"2026-05-06 21:52:46","1","1"
"2026-05-06 21:53:46","1","1"
"2026-05-06 21:54:46","1","1"
"2026-05-06 21:55:46","1","1"
"2026-05-06 21:56:37","1","1"
"2026-05-06 21:56:46","1","1"
"2026-05-06 21:57:46","1","1"
"2026-05-06 21:58:46","1","1"
"2026-05-06 21:59:46","1","1"
"2026-05-06 22:00:46","1","1"
"2026-05-06 22:01:46","1","1"
"2026-05-06 22:02:46","1","1"
"2026-05-06 22:05:17","1","1"
"2026-05-06 22:13:39","1","1"
"2026-05-06 22:14:09","1","1"
"2026-05-06 22:14:39","1","1"
"2026-05-06 22:24:30","1","1"
"2026-05-06 22:31:31","1","1"
"2026-05-06 22:33:20","1","1"
"2026-05-06 22:42:00","1","1"
"2026-05-06 22:52:32","1","1"
"2026-05-06 22:54:53","1","1"
"2026-05-06 23:01:45","1","1"
"2026-05-06 23:02:02","1","1"
"2026-05-06 23:03:20","1","1"
"2026-05-06 23:04:20","1","1"
"2026-05-06 23:10:25","1","1"
"2026-05-06 23:14:57","1","1"
"2026-05-06 23:15:57","1","1"
"2026-05-06 23:20:13","1","1"
"2026-05-06 23:30:01","1","1"
"2026-05-06 23:32:09","1","1"
"2026-05-06 23:33:09","1","1"
"2026-05-06 23:34:09","1","1"
"2026-05-06 23:35:09","1","1"
"2026-05-06 23:36:09","1","1"
"2026-05-06 23:37:09","1","1"
"2026-05-06 23:38:09","1","1"
"2026-05-06 23:38:40","1","1"
"2026-05-06 23:39:09","1","1"
"2026-05-06 23:40:09","1","1"
"2026-05-06 23:41:09","1","1"
"2026-05-06 23:42:09","1","1"
"2026-05-06 23:43:15","1","1"
"2026-05-06 23:44:15","1","1"
"2026-05-06 23:45:15","1","1"
"2026-05-06 23:45:50","1","1"
"2026-05-06 23:47:15","1","1"
"2026-05-06 23:47:47","1","1"
"2026-05-06 23:48:49","1","1"
"2026-05-06 23:49:49","1","1"
"2026-05-06 23:50:19","0","1"
"2026-05-06 23:50:53","0","1"
"2026-05-06 23:51:37","0","1"
"2026-05-06 23:52:16","0","1"
"2026-05-06 23:52:48","0","1"
"2026-05-06 23:53:26","0","1"
"2026-05-06 23:54:22","0","1"
"2026-05-06 23:54:57","0","1"
"2026-05-06 23:56:07","0","1"
"2026-05-06 23:56:48","0","1"
"2026-05-06 23:57:06","0","0"
"2026-05-06 23:57:09","0","0"
"2026-05-06 23:57:39","1","0"
"2026-05-06 23:58:09","1","0"
"2026-05-06 23:58:39","1","0"
"2026-05-06 23:59:09","1","0"
"2026-05-06 23:59:39","1","0"
"2026-05-07 00:00:09","1","0"
"2026-05-07 00:00:39","1","0"
"2026-05-07 00:01:09","1","0"
"2026-05-07 00:01:31","1","0"
"2026-05-07 00:01:39","1","0"
"2026-05-07 00:01:49","0","1"
"2026-05-07 00:02:22","1","1"
"2026-05-07 00:03:07","1","1"
"2026-05-07 00:03:21","1","1"
"2026-05-07 00:04:23","1","1"
"2026-05-07 00:05:03","1","1"
"2026-05-07 00:06:03","1","1"
"2026-05-07 00:07:23","1","1"
"2026-05-07 00:07:50","1","1"
"2026-05-07 00:09:01","1","1"
"2026-05-07 00:12:51","1","1"
"2026-05-07 00:15:30","1","1"
"2026-05-07 00:16:30","1","1"
"2026-05-07 00:16:38","1","1"
"2026-05-07 00:24:11","1","1"
"2026-05-07 00:25:12","1","1"
