Timestamp (UTC),Lifetime Energy Used (kWh),Energy Remaining (kWh),Pack Current (A),Pack Voltage (V),Min Battery Module Temp (°C),Max Battery Module Temp (°C)
"2026-05-06 17:18:55","1668.7681","62",,,,
"2026-05-06 17:20:47","1668.7681","61.879997",,,,
"2026-05-06 17:21:40","1668.7681","61.879997",,,,
"2026-05-06 17:21:47","1668.7681","61.879997",,,,
"2026-05-06 17:25:13","1668.7681","61.879997",,,,
"2026-05-06 20:54:26","1668.8041","61.879997",,,,
"2026-05-06 20:55:08","1668.8041","61.879997",,,,
"2026-05-06 20:55:14","1668.8041","61.879997",,,,
"2026-05-06 20:55:46","1668.8041","61.879997",,,,
"2026-05-06 20:56:47","1668.8041","61.879997",,,,
"2026-05-06 20:57:17","1668.8041","61.879997",,,,
"2026-05-06 20:57:31","1668.8041","61.879997",,,,
"2026-05-06 20:57:39","1668.8041","61.879997",,,,
"2026-05-06 20:58:09","1668.8041","61.76",,,,
"2026-05-06 20:58:39","1668.8041","61.76",,,,
"2026-05-06 20:59:09","1668.8041","61.739998",,,,
"2026-05-06 20:59:39","1668.8041","61.739998",,,,
"2026-05-06 21:00:09","1668.8041","61.62",,,,
"2026-05-06 21:00:39","1668.8041","61.62",,,,
"2026-05-06 21:01:08","1668.8041","61.5",,,,
"2026-05-06 21:01:55","1668.8041","61.379997",,,,
"2026-05-06 21:02:14","1668.8041","61.379997",,,,
"2026-05-06 21:02:44","1668.8041","61.379997",,,,
"2026-05-06 21:03:14","1668.8041","61.379997",,,,
"2026-05-06 21:03:44","1668.8041","61.379997",,,,
"2026-05-06 21:04:24","1668.8041","61.239998",,,,
"2026-05-06 21:04:52","1668.8041","61.239998",,,,
"2026-05-06 21:05:22","1668.8041","61.26",,,,
"2026-05-06 21:05:52","1668.8041","61.26",,,,
"2026-05-06 21:06:22","1668.8041","61",,,,
"2026-05-06 21:06:52","1668.8041","61",,,,
"2026-05-06 21:07:22","1668.8041","61",,,,
"2026-05-06 21:07:52","1668.8041","61",,,,
"2026-05-06 21:08:22","1668.8041","61",,,,
"2026-05-06 21:08:53","1668.8041","61",,,,
"2026-05-06 21:09:01","1668.8041","61",,,,
"2026-05-06 21:09:37","1668.8041","61",,,,
"2026-05-06 21:10:37","1668.8041","61",,,,
"2026-05-06 21:11:16","1668.8041","61",,,,
"2026-05-06 21:12:10","1668.8041","61",,,,
"2026-05-06 21:12:37","1668.8041","60.879997",,,,
"2026-05-06 21:13:37","1668.8041","60.879997",,,,
"2026-05-06 21:14:35","1668.8041","60.879997",,,,
"2026-05-06 21:15:37","1668.8041","60.879997",,,,
"2026-05-06 21:16:37","1668.8041","60.879997",,,,
"2026-05-06 21:17:37","1668.8041","60.879997",,,,
"2026-05-06 21:18:14","1668.8041","60.879997",,,,
"2026-05-06 21:18:37","1668.8041","60.879997",,,,
"2026-05-06 21:19:37","1668.8041","60.879997",,,,
"2026-05-06 21:20:37","1668.8041","60.879997",,,,
"2026-05-06 21:22:39","1668.8041","60.879997",,,,
"2026-05-06 21:24:53","1668.8041","60.879997",,,,
"2026-05-06 21:25:06","1668.8041","60.879997",,,,
"2026-05-06 21:27:50","1668.8041","60.879997",,,,
"2026-05-06 21:28:21","1668.8041","60.879997",,,,
"2026-05-06 21:30:45","1668.8041","60.76",,,,
"2026-05-06 21:31:45","1668.8041","60.76",,,,
"2026-05-06 21:32:45","1668.8041","60.739998",,,,
"2026-05-06 21:33:45","1668.8041","60.76",,,,
"2026-05-06 21:34:45","1668.8041","60.739998",,,,
"2026-05-06 21:35:45","1668.8041","60.76",,,,
"2026-05-06 21:36:30","1668.8041","60.76",,,,
"2026-05-06 21:36:45","1668.8041","60.76",,,,
"2026-05-06 21:37:45","1668.8041","60.739998",,,,
"2026-05-06 21:38:45","1668.8041","60.76",,,,
"2026-05-06 21:39:45","1668.8041","60.739998",,,,
"2026-05-06 21:40:24","1668.8041","60.739998",,,,
"2026-05-06 21:40:45","1668.8041","60.739998",,,,
"2026-05-06 21:41:45","1668.8041","60.76",,,,
"2026-05-06 21:42:46","1668.8041","60.739998",,,,
"2026-05-06 21:43:46","1668.8041","60.739998",,,,
"2026-05-06 21:44:46","1668.8041","60.739998",,,,
"2026-05-06 21:45:46","1668.8041","60.739998",,,,
"2026-05-06 21:46:46","1668.8041","60.76",,,,
"2026-05-06 21:47:46","1668.8041","60.739998",,,,
"2026-05-06 21:48:46","1668.8041","60.76",,,,
"2026-05-06 21:49:46","1668.8041","60.76",,,,
"2026-05-06 21:50:46","1668.8041","60.76",,,,
"2026-05-06 21:51:46","1668.8041","60.76",,,,
"2026-05-06 21:52:46","1668.8041","60.739998",,,,
"2026-05-06 21:53:46","1668.8041","60.76",,,,
"2026-05-06 21:54:46","1668.8041","60.739998",,,,
"2026-05-06 21:55:46","1670.514","60.76",,,,
"2026-05-06 21:56:37","1670.514","60.76",,,,
"2026-05-06 21:56:46","1670.514","60.76",,,,
"2026-05-06 21:57:46","1670.514","60.76",,,,
"2026-05-06 21:58:46","1670.514","60.739998",,,,
"2026-05-06 21:59:46","1670.514","60.76",,,,
"2026-05-06 22:00:46","1670.514","60.739998",,,,
